bv2012_code,bv2012_name,com_uu2020_status
01093,Châtillon-sur-Chalaronne,hors unité urbaine
01004,Ambérieu-en-Bugey,unité urbaine
01034,Belley,hors unité urbaine
01004,Ambérieu-en-Bugey,unité urbaine
01034,Belley,hors unité urbaine
01185,Plateau d'Hauteville,hors unité urbaine
74012,Annemasse,hors unité urbaine
74269,Seyssel,unité urbaine
01093,Châtillon-sur-Chalaronne,hors unité urbaine
38012,Aoste,hors unité urbaine
69123,Lyon,unité urbaine
38012,Aoste,hors unité urbaine
01305,Pont-de-Vaux,hors unité urbaine
01185,Plateau d'Hauteville,hors unité urbaine
01202,Lagnieu,hors unité urbaine
74012,Annemasse,unité urbaine
74269,Seyssel,unité urbaine
01202,Lagnieu,hors unité urbaine
02789,Vervins,hors unité urbaine
51250,Fismes,hors unité urbaine
02722,Soissons,hors unité urbaine
60471,Noyon,hors unité urbaine
02789,Vervins,hors unité urbaine
02722,Soissons,hors unité urbaine
02738,Tergnier,hors unité urbaine
51250,Fismes,hors unité urbaine
02381,Hirson,hors unité urbaine
02722,Soissons,hors unité urbaine
02722,Soissons,hors unité urbaine
02408,Laon,hors unité urbaine
02691,Saint-Quentin,hors unité urbaine
02381,Hirson,hors unité urbaine
51250,Fismes,hors unité urbaine
02722,Soissons,hors unité urbaine
02095,Bohain-en-Vermandois,hors unité urbaine
80410,Ham,hors unité urbaine
02789,Vervins,hors unité urbaine
02789,Vervins,hors unité urbaine
02691,Saint-Quentin,hors unité urbaine
02361,Guise,hors unité urbaine
02305,Fère-en-Tardenois,hors unité urbaine
02163,Charly-sur-Marne,hors unité urbaine
02018,Pinon,hors unité urbaine
02095,Bohain-en-Vermandois,hors unité urbaine
02558,Le Nouvion-en-Thiérache,unité urbaine
02381,Hirson,hors unité urbaine
02691,Saint-Quentin,hors unité urbaine
51454,Reims,hors unité urbaine
02168,Château-Thierry,hors unité urbaine
02468,Marle,hors unité urbaine
02408,Laon,hors unité urbaine
02408,Laon,hors unité urbaine
02789,Vervins,hors unité urbaine
03190,Moulins,unité urbaine
18197,Saint-Amand-Montrond,hors unité urbaine
03298,Varennes-sur-Allier,hors unité urbaine
03138,Lapalisse,hors unité urbaine
03185,Montluçon,hors unité urbaine
04143,Oraison,unité urbaine
04143,Oraison,hors unité urbaine
04039,Castellane,hors unité urbaine
04088,Forcalquier,hors unité urbaine
04088,Forcalquier,unité urbaine
04088,Forcalquier,hors unité urbaine
04088,Forcalquier,hors unité urbaine
04166,Riez,hors unité urbaine
04088,Forcalquier,hors unité urbaine
05179,Veynes,unité urbaine
05046,Embrun,hors unité urbaine
05179,Veynes,hors unité urbaine
38052,Le Bourg-d'Oisans,hors unité urbaine
06083,Menton,hors unité urbaine
06088,Nice,hors unité urbaine
06099,Puget-Théniers,hors unité urbaine
06088,Nice,unité urbaine
06088,Nice,unité urbaine
07064,Le Cheylard,hors unité urbaine
26333,Saint-Vallier,hors unité urbaine
07064,Le Cheylard,hors unité urbaine
07129,Lamastre,hors unité urbaine
07064,Le Cheylard,hors unité urbaine
26325,Saint-Rambert-d'Albon,hors unité urbaine
07010,Annonay,unité urbaine
07186,Privas,hors unité urbaine
07064,Le Cheylard,hors unité urbaine
43087,Dunières,hors unité urbaine
07129,Lamastre,hors unité urbaine
48080,Langogne,hors unité urbaine
07324,Tournon-sur-Rhône,unité urbaine
07019,Aubenas,hors unité urbaine
26333,Saint-Vallier,unité urbaine
08362,Rethel,hors unité urbaine
08105,Charleville-Mézières,hors unité urbaine
08367,Rocroi,hors unité urbaine
08490,Vouziers,hors unité urbaine
08105,Charleville-Mézières,unité urbaine
08409,Sedan,hors unité urbaine
08362,Rethel,hors unité urbaine
08362,Rethel,hors unité urbaine
02381,Hirson,hors unité urbaine
08185,Fumay,unité urbaine
08490,Vouziers,hors unité urbaine
08105,Charleville-Mézières,hors unité urbaine
08105,Charleville-Mézières,unité urbaine
08409,Sedan,hors unité urbaine
08362,Rethel,hors unité urbaine
08490,Vouziers,hors unité urbaine
08490,Vouziers,hors unité urbaine
08105,Charleville-Mézières,unité urbaine
09122,Foix,hors unité urbaine
09122,Foix,hors unité urbaine
09167,Lézat-sur-Lèze,hors unité urbaine
31375,Montesquieu-Volvestre,hors unité urbaine
09261,Saint-Girons,hors unité urbaine
09225,Pamiers,hors unité urbaine
09306,Tarascon-sur-Ariège,hors unité urbaine
09160,Lavelanet,unité urbaine
09261,Saint-Girons,hors unité urbaine
09160,Lavelanet,hors unité urbaine
45187,Lorris,hors unité urbaine
