Code Commune,Nom Commune,Niveau de vie Commune,Niveau de vie Département
05047,Éourres,10021.25,19202.51648
26142,Glandage,10215.0,19300.504181
11317,Rodome,10908.5,17599.733068
11384,Soulatgé,11485.166667,17599.733068
30153,Malons-et-Elze,11680.0,18282.543539
13203,Marseille 3e Arrondissement,11760.8,20006.785169
26055,Boulc,11903.214286,19300.504181
09118,Esplas-de-Sérou,12074.0,18463.189424
11346,Saint-Jean-de-Paracol,12173.333333,17599.733068
09231,Le Port,12193.0,18463.189424
11142,Festes-et-Saint-André,12239.375,17599.733068
09009,Alzen,12424.285714,18463.189424
48171,Saint-Martin-de-Lansuscle,12574.0,18756.660112
30296,Saint-Roman-de-Codières,12609.52381,18282.543539
26361,Valdrôme,12695.517241,19300.504181
07147,Malarce-sur-la-Thines,12702.0,19028.097092
23178,Saint-Agnant-près-Crocq,12706.6,17706.664212
11191,Laroque-de-Fa,12745.0,17599.733068
11260,Mouthoumet,12827.5,17599.733068
15112,Malbo,12836.666667,18692.766897
11117,Davejean,12866.190476,17599.733068
93014,Clichy-sous-Bois,12866.521739,17192.209405
30246,Sainte-Croix-de-Caderle,12867.333333,18282.543539
24039,Besse,12893.0,18687.801987
09057,Biert,12902.380952,18463.189424
34158,Minerve,12919.761905,18686.160053
91286,Grigny,12933.809524,23141.927413
26356,Truinas,12934.153846,19300.504181
12035,Brasc,12991.820513,19069.431052
11044,Bouisse,13001.0,17599.733068
48174,Saint-Paul-le-Froid,13001.833333,18756.660112
07202,Sablières,13005.0,19028.097092
09267,Saint-Lary,13006.666667,18463.189424
66039,Caramany,13016.666667,17813.436856
59172,Denain,13022.121212,18710.357368
48136,Saint-André-de-Lancize,13032.4,18756.660112
08499,Wasigny,13072.173913,17982.891628
11137,Félines-Termenès,13091.605263,17599.733068
66107,Maury,13146.0,17813.436856
55438,Romagne-sous-Montfaucon,13160.333333,19025.08246
48164,Saint-Julien-du-Tournel,13178.571429,18756.660112
43097,Freycenet-la-Cuche,13182.0,19098.534035
59512,Roubaix,13188.529412,18710.357368
58274,Savigny-Poil-Fol,13212.961538,18835.593964
11055,Bugarach,13215.5,17599.733068
62017,Aix-en-Ergny,13223.214286,17738.487318
13215,Marseille 15e Arrondissement,13243.181818,20006.785169
07075,Cros-de-Géorand,13251.0,19028.097092
43149,Pébrac,13266.0,19098.534035
70436,Raincourt,13293.333333,18851.05608
93027,La Courneuve,13301.37931,17192.209405
59361,Lourches,13347.460317,18710.357368
93001,Aubervilliers,13353.833333,17192.209405
63339,Saint-Étienne-des-Champs,13360.0,20539.456261
07196,Rocles,13376.190476,19028.097092
26321,Saint-Nazaire-le-Désert,13385.0,19300.504181
95268,Garges-lès-Gonesse,13434.0,21296.219805
23091,Gioux,13448.833333,17706.664212
12147,Montagnol,13472.666667,19069.431052
59365,Louvroil,13480.952381,18710.357368
48079,Lajo,13510.47619,18756.660112
