codgeo,libgeo,zonage_rur
01001,L'Abergement-Clémenciat,tr2
01002,L'Abergement-de-Varey,tr1
01004,Ambérieu-en-Bugey,tr5
01005,Ambérieux-en-Dombes,tr3
01006,Ambléon,tr1
01007,Ambronay,tr2
01008,Ambutrix,tr5
01009,Andert-et-Condon,tr2
01010,Anglefort,tr2
01011,Apremont,tr4
01012,Aranc,tr1
01013,Arandas,tr1
01014,Arbent,tr5
01015,Arboys en Bugey,tr1
01016,Arbigny,tr3
01017,Argis,tr2
01019,Armix,tr1
01021,Ars-sur-Formans,tr3
01022,Artemare,tr2
01023,Asnières-sur-Saône,tr4
01024,Attignat,tr4
01025,Bâgé-Dommartin,tr4
01026,Bâgé-le-Châtel,tr4
01027,Balan,tr3
01028,Baneins,tr2
01029,Beaupont,tr4
01030,Beauregard,tr5
01031,Bellignat,tr5
01032,Béligneux,tr4
01033,Valserhône,tr5
01034,Belley,tr5
01035,Belleydoux,tr3
01036,Valromey-sur-Séran,tr2
01037,Bénonces,tr1
01038,Bény,tr4
01039,Béon,tr2
01040,Béréziat,tr3
01041,Bettant,tr5
01042,Bey,tr4
01043,Beynost,tr5
01044,Billiat,tr3
01045,Birieux,tr4
01046,Biziat,tr2
01047,Blyes,tr3
01049,La Boisse,tr5
01050,Boissey,tr3
01051,Bolozon,tr1
01052,Bouligneux,tr3
01053,Bourg-en-Bresse,tr5
01054,Bourg-Saint-Christophe,tr4
01056,Boyeux-Saint-Jérôme,tr1
01057,Boz,tr4
01058,Brégnier-Cordon,tr2
01060,Brénod,tr2
01061,Brens,tr2
01062,Bressolles,tr5
01063,Brion,tr5
01064,Briord,tr2
01065,Buellas,tr4
01066,La Burbanche,tr1
01067,Ceignes,tr1
01068,Cerdon,tr2
01069,Certines,tr4
01071,Cessy,tr5
01072,Ceyzériat,tr4
01073,Ceyzérieu,tr2
01074,Chalamont,tr3
01075,Chaleins,tr3
01076,Chaley,tr1
01077,Challes-la-Montagne,tr1
01078,Challex,tr5
01079,Champagne-en-Valromey,tr2
01080,Champdor-Corcelles,tr2
01081,Champfromier,tr2
01082,Chanay,tr3
01083,Chaneins,tr2
01084,Chanoz-Châtenay,tr3
01085,La Chapelle-du-Châtelard,tr3
01087,Charix,tr3
01088,Charnoz-sur-Ain,tr4
01089,Château-Gaillard,tr3
01090,Châtenay,tr1
01092,Châtillon-la-Palud,tr3
01093,Châtillon-sur-Chalaronne,tr2
01094,Chavannes-sur-Reyssouze,tr3
01095,Nivigne et Suran,tr4
01096,Chaveyriat,tr4
01098,Chazey-Bons,tr2
01099,Chazey-sur-Ain,tr3
01100,Cheignieu-la-Balme,tr1
01101,Chevillard,tr1
01102,Chevroux,tr3
01103,Chevry,tr5
01104,Chézery-Forens,tr2
01105,Civrieux,tr4
01106,Cize,tr4
01107,Cleyzieu,tr1
01108,Coligny,tr4
01109,Collonges,tr3
01110,Colomieu,tr1
01111,Conand,tr1
01112,Condamine,tr2
01113,Condeissiat,tr3
01114,Confort,tr3
01115,Confrançon,tr4
01116,Contrevoz,tr2
01117,Conzieu,tr1
01118,Corbonod,tr2
01121,Corlier,tr1
01123,Cormoranche-sur-Saône,tr3
01124,Cormoz,tr3
01125,Corveissiat,tr3
01127,Courmangoux,tr4
01128,Courtes,tr2
01129,Crans,tr3
01130,Bresse Vallons,tr4
01133,Cressin-Rochefort,tr2
01134,Crottet,tr4
01135,Crozet,tr5
01136,Cruzilles-lès-Mépillat,tr3
01138,Culoz,tr2
01139,Curciat-Dongalon,tr3
01140,Curtafond,tr4
01141,Cuzieu,tr2
01142,Dagneux,tr5
01143,Divonne-les-Bains,tr5
01145,Dompierre-sur-Veyle,tr3
01146,Dompierre-sur-Chalaronne,tr2
01147,Domsure,tr3
01148,Dortan,tr4
01149,Douvres,tr2
01150,Drom,tr4
01151,Druillat,tr3
01152,Échallon,tr3
01153,Échenevex,tr5
01155,Évosges,tr1
01156,Faramans,tr4
01157,Fareins,tr3
01158,Farges,tr3
01159,Feillens,tr4
01160,Ferney-Voltaire,tr5
01162,Flaxieu,tr2
01163,Foissiat,tr3
01165,Francheleins,tr2
01166,Frans,tr5
01167,Garnerans,tr3
01169,Genouilleux,tr5
01170,Béard-Géovreissiat,tr5
01171,Géovreisset,tr5
01173,Gex,tr5
01174,Giron,tr1
01175,Gorrevod,tr3
01177,Grand-Corent,tr4
01179,Grièges,tr4
01180,Grilly,tr3
01181,Groissiat,tr4
01183,Guéreins,tr5
01184,Hautecourt-Romanèche,tr4
01185,Plateau d'Hauteville,tr2
01187,Haut Valromey,tr1
01188,Illiat,tr2
01189,Injoux-Génissiat,tr3
01190,Innimond,tr1
01191,Izenave,tr1
01192,Izernore,tr3
01193,Izieu,tr2
01194,Jassans-Riottier,tr5
01195,Jasseron,tr4
01196,Jayat,tr4
01197,Journans,tr4
01198,Joyeux,tr3
01199,Jujurieux,tr2
01200,Labalme,tr1
01202,Lagnieu,tr5
01203,Laiz,tr3
01204,Le Poizat-Lalleyriat,tr2
01206,Lantenay,tr2
01207,Lapeyrouse,tr4
01208,Lavours,tr1
01209,Léaz,tr3
01210,Lélex,tr1
01211,Lent,tr4
01212,Lescheroux,tr3
01213,Leyment,tr3
01214,Leyssard,tr3
01215,Surjoux-Lhopital,tr3
01216,Lhuis,tr2
01219,Lompnas,tr1
01224,Loyettes,tr5
01225,Lurcy,tr3
01227,Magnieu,tr2
01228,Maillat,tr2
01229,Malafretaz,tr4
01230,Mantenay-Montlin,tr3
01231,Manziat,tr4
01232,Marboz,tr4
01233,Marchamp,tr1
01234,Marignieu,tr1
01235,Marlieux,tr3
01236,Marsonnas,tr3
01237,Martignat,tr4
01238,Massieux,tr5
01239,Massignieu-de-Rives,tr2
01240,Matafelon-Granges,tr4
01241,Meillonnas,tr4
01242,Mérignat,tr1
01243,Messimy-sur-Saône,tr3
01244,Meximieux,tr5
01245,Bohas-Meyriat-Rignat,tr4
01246,Mézériat,tr3
01247,Mijoux,tr3
01248,Mionnay,tr4
01249,Miribel,tr5
01250,Misérieux,tr5
01252,Mogneneins,tr2
01254,Montagnat,tr4
01255,Montagnieu,tr2
01257,Montanges,tr3
01258,Montceaux,tr2
01259,Montcet,tr4
01260,Le Montellier,tr3
01261,Monthieux,tr4
01262,Montluel,tr5
01263,Montmerle-sur-Saône,tr5
01264,Montracol,tr4
01265,Montréal-la-Cluse,tr5
01266,Montrevel-en-Bresse,tr4
01267,Nurieux-Volognat,tr3
01268,Murs-et-Gélignieux,tr2
01269,Nantua,tr2
01272,Neuville-les-Dames,tr2
01273,Neuville-sur-Ain,tr2
01274,Les Neyrolles,tr2
01275,Neyron,tr5
01276,Niévroz,tr4
01277,Nivollet-Montgriffon,tr1
01279,Oncieu,tr1
01280,Ordonnaz,tr1
01281,Ornex,tr5
01282,Outriaz,tr2
01283,Oyonnax,tr5
01284,Ozan,tr3
01285,Parcieux,tr5
01286,Parves et Nattages,tr3
01288,Péron,tr3
01289,Péronnas,tr5
01290,Pérouges,tr3
01291,Perrex,tr3
01293,Peyriat,tr3
01294,Peyrieu,tr2
01295,Peyzieux-sur-Saône,tr2
01296,Pirajoux,tr4
01297,Pizay,tr4
01298,Plagne,tr3
01299,Le Plantay,tr3
01301,Polliat,tr4
01302,Pollieu,tr1
01303,Poncin,tr2
01304,Pont-d'Ain,tr2
01305,Pont-de-Vaux,tr3
01306,Pont-de-Veyle,tr3
01307,Port,tr5
01308,Pougny,tr3
01309,Pouillat,tr4
01310,Prémeyzel,tr1
01311,Prémillieu,tr1
01313,Prévessin-Moëns,tr5
01314,Priay,tr3
01317,Ramasse,tr4
01318,Rancé,tr3
01319,Relevant,tr2
01320,Replonges,tr4
01321,Revonnas,tr4
01322,Reyrieux,tr5
01323,Reyssouze,tr3
01325,Rignieux-le-Franc,tr3
01328,Romans,tr3
01329,Rossillon,tr1
01330,Ruffieu,tr1
01331,Saint-Alban,tr1
01332,Saint-André-de-Bâgé,tr4
01333,Saint-André-de-Corcy,tr4
01334,Saint-André-d'Huiriat,tr3
01335,Saint-André-le-Bouchoux,tr3
01336,Saint-André-sur-Vieux-Jonc,tr4
01337,Saint-Bénigne,tr3
01338,Groslée-Saint-Benoit,tr2
01339,Saint-Bernard,tr5
01342,Sainte-Croix,tr4
01343,Saint-Cyr-sur-Menthon,tr3
01344,Saint-Denis-lès-Bourg,tr5
01345,Saint-Denis-en-Bugey,tr5
01346,Saint-Didier-d'Aussiat,tr3
01347,Saint-Didier-de-Formans,tr5
01348,Saint-Didier-sur-Chalaronne,tr2
01349,Saint-Éloi,tr3
01350,Saint-Étienne-du-Bois,tr4
01351,Saint-Étienne-sur-Chalaronne,tr2
01352,Saint-Étienne-sur-Reyssouze,tr3
01353,Sainte-Euphémie,tr5
01354,Saint-Genis-Pouilly,tr5
01355,Saint-Genis-sur-Menthon,tr3
01356,Saint-Georges-sur-Renon,tr3
01357,Saint-Germain-de-Joux,tr2
01358,Saint-Germain-les-Paroisses,tr2
01359,Saint-Germain-sur-Renon,tr3
01360,Saint-Jean-de-Gonville,tr5
01361,Saint-Jean-de-Niost,tr4
01362,Saint-Jean-de-Thurigneux,tr4
01363,Saint-Jean-le-Vieux,tr2
01364,Saint-Jean-sur-Reyssouze,tr3
01365,Saint-Jean-sur-Veyle,tr3
01366,Sainte-Julie,tr3
01367,Saint-Julien-sur-Reyssouze,tr3
01368,Saint-Julien-sur-Veyle,tr2
01369,Saint-Just,tr4
01370,Saint-Laurent-sur-Saône,tr5
01371,Saint-Marcel,tr4
01372,Saint-Martin-de-Bavel,tr2
01373,Saint-Martin-du-Frêne,tr2
01374,Saint-Martin-du-Mont,tr4
01375,Saint-Martin-le-Châtel,tr4
01376,Saint-Maurice-de-Beynost,tr5
01378,Saint-Maurice-de-Gourdans,tr4
01379,Saint-Maurice-de-Rémens,tr3
01380,Saint-Nizier-le-Bouchoux,tr3
01381,Saint-Nizier-le-Désert,tr3
01382,Sainte-Olive,tr3
01383,Saint-Paul-de-Varax,tr3
01384,Saint-Rambert-en-Bugey,tr2
01385,Saint-Rémy,tr4
01386,Saint-Sorlin-en-Bugey,tr5
01387,Saint-Sulpice,tr3
01388,Saint-Trivier-de-Courtes,tr2
01389,Saint-Trivier-sur-Moignans,tr3
01390,Saint-Vulbas,tr3
01391,Salavre,tr4
01392,Samognat,tr4
01393,Sandrans,tr3
01396,Sault-Brénaz,tr2
01397,Sauverny,tr5
01398,Savigneux,tr3
01399,Ségny,tr5
01400,Seillonnaz,tr1
01401,Sergy,tr5
01402,Sermoyer,tr2
01403,Serrières-de-Briord,tr2
01404,Serrières-sur-Ain,tr1
01405,Servas,tr4
01406,Servignat,tr2
01407,Seyssel,tr2
01408,Simandre-sur-Suran,tr4
01410,Sonthonnax-la-Montagne,tr3
01411,Souclin,tr1
01412,Sulignat,tr2
01415,Talissieu,tr2
01416,Tenay,tr2
01418,Thil,tr4
01419,Thoiry,tr5
01420,Thoissey,tr2
01421,Torcieu,tr2
01422,Tossiat,tr4
01423,Toussieux,tr5
01424,Tramoyes,tr4
01425,La Tranclière,tr3
01426,Val-Revermont,tr4
01427,Trévoux,tr5
01428,Valeins,tr1
01429,Vandeins,tr4
01430,Varambon,tr2
01431,Vaux-en-Bugey,tr5
01432,Verjon,tr4
01433,Vernoux,tr1
01434,Versailleux,tr4
01435,Versonnex,tr5
01436,Vesancy,tr5
01437,Vescours,tr1
01439,Vésines,tr4
01441,Vieu-d'Izenave,tr2
01443,Villars-les-Dombes,tr4
01444,Villebois,tr2
01445,Villemotier,tr4
01446,Villeneuve,tr3
01447,Villereversure,tr4
01448,Villes,tr3
01449,Villette-sur-Ain,tr2
01450,Villieu-Loyes-Mollon,tr5
01451,Viriat,tr4
01452,Virieu-le-Grand,tr2
01453,Arvière-en-Valromey,tr1
01454,Virignin,tr2
01456,Vongnes,tr2
01457,Vonnas,tr3
02001,Abbécourt,tr5
02002,Achery,tr2
02003,Acy,tr4
02004,Agnicourt-et-Séchelles,tr1
02005,Aguilcourt,tr4
02006,Aisonville-et-Bernoville,tr2
02007,Aizelles,tr4
02008,Aizy-Jouy,tr3
02009,Alaincourt,tr3
02010,Allemant,tr4
02011,Ambleny,tr3
02012,Ambrief,tr4
02013,Amifontaine,tr4
02014,Amigny-Rouy,tr2
02015,Ancienville,tr3
02016,Andelain,tr2
02017,Anguilcourt-le-Sart,tr2
02018,Anizy-le-Grand,tr3
02019,Annois,tr2
02020,Any-Martin-Rieux,tr2
02021,Archon,tr1
02022,Arcy-Sainte-Restitue,tr1
02023,Armentières-sur-Ourcq,tr1
02024,Arrancy,tr3
02025,Artemps,tr4
02027,Assis-sur-Serre,tr3
02028,Athies-sous-Laon,tr4
02029,Attilly,tr4
02030,Aubencheul-aux-Bois,tr3
02031,Aubenton,tr2
02032,Aubigny-aux-Kaisnes,tr1
02033,Aubigny-en-Laonnois,tr1
02034,Audignicourt,tr1
02035,Audigny,tr1
02036,Augy,tr3
02037,Aulnois-sous-Laon,tr4
02038,Les Autels,tr1
02039,Autremencourt,tr3
02040,Autreppes,tr1
02041,Autreville,tr2
02042,Azy-sur-Marne,tr3
02043,Bagneux,tr3
02044,Bancigny,tr1
02046,Barenton-Bugny,tr4
02047,Barenton-Cel,tr4
02048,Barenton-sur-Serre,tr3
02049,Barisis-aux-Bois,tr2
02050,Barzy-en-Thiérache,tr2
02051,Barzy-sur-Marne,tr2
02052,Bassoles-Aulers,tr3
02053,Vallées en Champagne,tr1
02054,Bazoches-sur-Vesles,tr4
02055,Beaumé,tr1
02056,Beaumont-en-Beine,tr1
02057,Beaurevoir,tr3
02058,Beaurieux,tr3
02059,Beautor,tr5
02060,Beauvois-en-Vermandois,tr3
02061,Becquigny,tr2
02062,Belleau,tr3
02063,Bellenglise,tr4
02064,Belleu,tr5
02065,Bellicourt,tr4
02066,Benay,tr4
02067,Bergues-sur-Sambre,tr1
02068,Berlancourt,tr1
02069,Berlise,tr1
02070,Bernot,tr3
02071,Berny-Rivière,tr3
02072,Berrieux,tr3
02073,Berry-au-Bac,tr4
02074,Bertaucourt-Epourdon,tr3
02075,Berthenicourt,tr4
02076,Bertricourt,tr4
02077,Berzy-le-Sec,tr4
02078,Besmé,tr1
02079,Besmont,tr1
02080,Besny-et-Loizy,tr4
02081,Béthancourt-en-Vaux,tr2
02082,Beugneux,tr1
02083,Beuvardes,tr2
02084,Bézu-le-Guéry,tr4
02085,Bézu-Saint-Germain,tr2
02086,Bichancourt,tr2
02087,Bieuxy,tr4
02088,Bièvres,tr3
02089,Billy-sur-Aisne,tr4
02090,Billy-sur-Ourcq,tr3
02091,Blanzy-lès-Fismes,tr3
02093,Blérancourt,tr2
02094,Blesmes,tr5
02095,Bohain-en-Vermandois,tr5
02096,Bois-lès-Pargny,tr3
02097,Boncourt,tr1
02098,Bonneil,tr2
02099,Bonnesvalyn,tr1
02100,Bony,tr3
02101,Bosmont-sur-Serre,tr1
02102,Bouconville-Vauclair,tr3
02103,Boué,tr2
02104,Bouffignereux,tr4
02105,Bouresches,tr3
02106,Bourg-et-Comin,tr3
02107,Bourguignon-sous-Coucy,tr1
02108,Bourguignon-sous-Montbavin,tr4
02109,La Bouteille,tr2
02110,Braine,tr2
02111,Brancourt-en-Laonnois,tr2
02112,Brancourt-le-Grand,tr3
02114,Brasles,tr5
02115,Braye-en-Laonnois,tr1
02116,Braye-en-Thiérache,tr1
02117,Bray-Saint-Christophe,tr3
02118,Braye,tr4
02119,Brécy,tr2
